timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438868266041, 12.1026, 3.03242, -4.16917, -11.3619, -4.76439, -11.1254
1438868266415, 12.0985, 2.71398, -3.97535, -11.4268, -4.51195, -11.2257
1438868266773, 12.1226, 2.53361, -3.74831, -11.5286, -4.25428, -11.3516
1438868267139, 12.1074, 2.71583, -3.51557, -11.5858, -4.06058, -11.4062
1438868267478, 12.0615, 2.79551, -3.36296, -11.5832, -3.92389, -11.4054
1438868267850, 11.7761, 4.21906, -3.10918, -11.3583, -3.93639, -11.0987
1438868268166, 11.5391, 5.29507, -2.79737, -11.1949, -3.81855, -10.889
1438868268531, 11.3914, 5.61218, -2.41464, -11.1325, -3.49176, -10.843
1438868268899, 11.5904, 4.51911, -2.0533, -11.4071, -2.9457, -11.2098
1438868269265, 11.5736, 4.18806, -1.63085, -11.4581, -2.46328, -11.3084
1438868269589, 11.5659, 3.60078, -1.27669, -11.4953, -1.99612, -11.3924
1438868269962, 11.3757, 3.42905, -0.778518, -11.3491, -1.45594, -11.2822
1438868270311, 11.5476, 1.23772, -0.490424, -11.5372, -0.73952, -11.5239
1438868270643, 12.0698, -191.882, -2.865, 11.7248, 5.21764, -10.8837
1438868271007, 12.2387, -195.971, -2.78668, 11.9172, 5.95822, -10.6904
1438868289833, 17.6473, -7.9244, 17.5831, 1.50352, 17.2079, 3.91328
1438868290269, 17.6211, -8.1531, 17.551, 1.57022, 17.1509, 4.04342
1438868290664, 17.6049, -8.43089, 17.541, 1.49874, 17.1317, 4.05433
1438868291100, 17.5856, -8.81589, 17.5177, 1.54399, 17.0741, 4.21051
1438868291505, 17.6017, -8.59509, 17.543, 1.43641, 17.1313, 4.04209
1438868291896, 17.5791, -8.93866, 17.5294, 1.31989, 17.1115, 4.02753
1438868292255, 17.5317, -9.2315, 17.4914, 1.18859, 17.0741, 3.97922
1438868292669, 17.53, -9.19203, 17.4821, 1.29469, 17.0508, 4.07073
1438868293081, 17.5476, -9.1835, 17.4983, 1.31429, 17.0643, 4.09012
1438868293495, 17.5775, -9.13318, 17.5306, 1.28336, 17.1046, 4.04972
1438868293898, 17.5971, -9.08897, 17.5462, 1.33814, 17.1145, 4.09307
1438868294257, 17.638, -9.02161, 17.5845, 1.37354, 17.1516, 4.11391
1438868294690, 17.6182, -8.90991, 17.5681, 1.32735, 17.1505, 4.0323
1438868295089, 17.6711, -8.92984, 17.625, 1.27549, 17.2134, 3.99588
