timestamp, total_error, angular_error_deg, lat_error1, long_error1, lat_error2, long_error2
1438697602395, 0.232655, -1.72206, 0.028068, -0.230956, 0.0349958, -0.230008
1438697602673, 0.388948, -1.50752, 0.0479512, -0.38598, 0.0580891, -0.384585
1438697602996, 0.228667, -1.59963, 0.0639607, -0.219539, 0.0700643, -0.217668
1438697603310, 0.22538, -1.64079, 0.0616657, -0.21678, 0.0678476, -0.214925
1438697603613, 0.340492, -0.253788, 0.0383924, -0.338321, 0.0398906, -0.338147
1438697603908, 0.262692, 0.321024, 0.087366, -0.247738, 0.0859766, -0.248224
1438697604204, 0.36623, -0.060311, 0.0429768, -0.3637, 0.0433597, -0.363655
1438697604499, 0.305646, 0.269522, 0.0587274, -0.299951, 0.0573158, -0.300224
1438697604776, 0.326903, -0.961825, 0.095944, -0.312507, 0.101176, -0.310852
1438697605099, 0.324703, -0.985162, 0.088408, -0.312435, 0.0937668, -0.310869
1438697605378, 0.328358, -0.910974, 0.11287, -0.308349, 0.117758, -0.306516
1438697605702, 0.338037, -1.01172, 0.129446, -0.31227, 0.13494, -0.309936
1438697606035, 0.324421, -1.05634, 0.0937098, -0.310592, 0.0994198, -0.308812
1438697606348, 0.320766, -1.096, 0.086286, -0.308943, 0.0921796, -0.307236
1438697606692, 0.319572, -1.18388, 0.0874562, -0.307373, 0.0937882, -0.3055
1438697607014, 0.322625, -1.08988, 0.122605, -0.29842, 0.128259, -0.296034
1438697635610, 0.167707, -1.09744, 0.159349, 0.0522836, 0.158318, 0.055326
1438697636044, 0.152362, -1.25417, 0.145258, 0.0459801, 0.144217, 0.0491484
1438697636433, 0.0942446, -1.57692, 0.085149, 0.0403941, 0.0840052, 0.042722
1438697636739, 0.31192, -349.539, 0.118696, 0.288454, 0.169098, 0.262107
1438697692962, 0.114704, -1.5148, 0.0294057, 0.110871, 0.0264645, 0.11161
1438697693380, 0.106119, -1.43677, 0.0257689, 0.102943, 0.0231796, 0.103556
1438697693779, 0.0833097, -1.6074, 0.00333958, 0.0832427, 0.00100324, 0.0833036
1438697694210, 0.073552, -1.39182, -0.0279343, 0.068041, -0.0295787, 0.0673424
1438697694611, 0.0603958, -1.36225, -0.0233196, 0.0557122, -0.0246375, 0.0551421
1438697694979, 0.0548073, -1.2646, -0.0353627, 0.0418727, -0.0362782, 0.0410821
1438697695386, 0.0601947, -1.21953, -0.0459178, 0.0389224, -0.0467358, 0.0379363
1438697695773, 0.120881, -1.32347, -0.112482, 0.0442734, -0.113474, 0.0416636
1438697696123, 0.095239, -1.37039, -0.0841892, 0.044527, -0.08523, 0.0425009
1438697696453, 0.113173, -1.34835, -0.0974984, 0.0574639, -0.0988235, 0.0551538
1438697725048, 0.0493299, -0.900214, 0.00397318, 0.0491696, 0.00320019, 0.049226
1438697725477, 0.0642071, -1.2362, 0.0532505, 0.0358739, 0.0524642, 0.0370144
1438697725901, 0.0699832, -1.76169, 0.0628715, 0.030738, 0.0618968, 0.0326563
